Created On	Questioner Id	Quotes Id	Updated On	Pqid	Pqid Type
Jan	6d0c8573-6898-4ca7-b04a-610d2e5db75c	3a9a7bbd-98d2-439e-bc61-478f93ce70a0	Jan  3 2018  1:55PM		New
Jan	5c1f97a7-c7d4-4dc3-9671-f8bdbd09b3bc	6ee3a4ac-8fcf-49c2-94e8-5f5dfba52abf	Jan  3 2018  2:44PM		New
Jan	5c1f97a7-c7d4-4dc3-9671-f8bdbd09b3bc	0e95b231-3a75-43d8-a33d-c65e47c4b58e	Jan  3 2018  2:56PM		New
Jan	5c1f97a7-c7d4-4dc3-9671-f8bdbd09b3bc	9f79e3b0-e171-4b24-a16e-fff9d4cbacb8	Jan  3 2018  2:56PM		New
Jan	9163165c-d846-4c2e-975e-ca19dfe9308a	a428db0a-49bc-4486-9d47-27f902e723a6	Jan  3 2018  3:18PM		New
Jan	9163165c-d846-4c2e-975e-ca19dfe9308a	e6028960-b49c-45d2-8c0b-82ce1bde15ac	Jan  3 2018  3:54PM		New
Jan	e1ba79bb-ab7e-47fc-bfe1-0ad93659c1d6	e4b2b6ca-c419-43a5-bcba-2ae4d88e747e	Jan  4 2018 12:35PM		New
Jan	78973dcc-eb6e-4a93-a66a-719f2433feb9	e5b56bff-8554-4d8e-b4c3-4f3c10bc2f4b	Jan  3 2018  3:54PM		New
Jan	c29f872b-bdcc-4d47-b29e-e1e3f6790b48	63e7bcda-83f2-4cea-9599-27146ab81156	Jan  3 2018  4:54PM		New
Jan	c29f872b-bdcc-4d47-b29e-e1e3f6790b48	f0b7f829-cc01-4b50-9798-b7d8e5a6fbf5	Jan  3 2018  4:11PM		New
Jan	78083c0c-1d58-41f8-a444-8502e7e004d5	b5edf243-dd12-4a17-bd97-ab9d0a753367	Jan  3 2018  5:24PM		New
Jan	1942410a-ab0a-4012-873e-9abf4409db9e	9138279a-04ea-440b-9b39-7dc19217f4ff	Jan  3 2018  5:24PM		New
Jan	81546970-8d40-4ff8-8102-c1d75b838101	5d954123-3f8d-4221-b895-c79add4c14ba	Jan  3 2018  5:24PM		New
Jan	4bd49ed6-f51c-4d26-a392-40df53c564fc	32e27b08-0127-4b5a-908a-3c6ad8bb2d80	Jan  3 2018  5:24PM		New
Jan	26943711-34e1-4130-a1ae-3a2426208c37	d23c7478-bb32-4c04-a189-751c05407f56	Jan  3 2018  5:34PM		New
Jan	da95ec13-4e26-43cd-a071-4bef6a852150	049edd69-b2b9-4e5c-9ef9-d6892e2a4a9e	Jan  3 2018  5:56PM		New
Jan	7fd37115-5691-448e-ba1b-2d3d762d5c31	8838c9ce-bcfe-47c0-9679-499769e59eef	Jan  3 2018  5:54PM		New
Jan	f6c31180-e2ec-45da-b527-48b5bd4765df	e582538c-ac62-40ad-a567-f06b3043c3c1	Jan  3 2018  7:54PM		New
Jan	f6c31180-e2ec-45da-b527-48b5bd4765df	35cbcb8b-9a18-49ba-8928-3ad1d2388f20	Jan  3 2018  7:32PM		New
Jan	667ee8f6-e3ee-40d7-a717-c17d4326e45a	633686d2-592f-4700-9607-9c1a236e1e55	Jan  3 2018  6:47PM		New
